District,Variety_Sampled,Age,Field_size(MSquared),Neighbor_ fields,lat,lon,Altitude,CBSD_Severity,CBSD_Incidence,CMD_Incidence,Adult_Population,Mean_adult_whitefly_per_Plant
Gulu,TME 14,6,1500,3,2.90714,32.29768,1017,0,0,0,0,0
Gulu,TME 14,5,1500,4,2.91137,32.31248,1095,0,0,0,113,3.8
Gulu,TME 14,6,2500,2,2.59316,32.32026,1074,0,0,0,0,0
Gulu,TME 14,4,4000,3,2.62932,32.38869,1093,0,0,0,1026,34.2
Gulu,Okonyoledek,5,1500,2,2.7742,32.32471,1099,0,0,0,986,32.9
Kitgum,Nase 12,5,2500,3,3.26667,32.91615,964,0,0,0,4,0.1
Kitgum,Nase 12,3,1000,1,3.23007,32.97931,1017,0,0,0,0,0
Kitgum,TME 14,5,1000,2,3.81916,33.04841,1022,0,0,0,0,0
Kitgum,Nyaraboke,5,4100,0,3.19588,33.11176,985,0,0,60,4,0.1
Kitgum,Nase 12,2,4000,0,3.26317,33.06501,977,0,0,0,2,0.1
Kitgum,Nase 12,5,2000,3,3.25706,33.14001,1009,0,0,0,0,0
Kitgum,TME 14,6,1200,1,3.37227,33.21879,1044,0,0,0,0,0
Kitgum,Nase 13,5,1000,0,3.40019,33.079,1010,0,0,0,0,0
Kitgum,Nase 13,6,1300,0,3.43033,33.03312,973,0,0,0,0,0
Kitgum,NASE 12,5,1000,0,3.61614,33.00294,1038,0,0,0,0,0
Kitgum,Nase 13,4,1000,0,3.5618,32.90336,1059,0,0,0,0,0
Kitgum,Unknown,6,1000,0,3.58301,32.72945,1039,0,0,0,0,0
Kitgum,Otara,6,6000,0,3.53798,32.69141,1012,0,0,6.7,0,0
Kitgum,Omongole,6,10,0,3.48545,32.65834,1007,0,0,90,0,0
Kitgum,Naase 13,5,1000,2,3.24567,32.85221,953,0,0,0,1,0
Kitgum,TME 14,5,4000,2,3.19007,32.80951,927,2,16.7,0,0,0
Kitgum,TME 14,6,2000,1,3.32428,32.9031,950,0,0,0,0,0
Kitgum,TME 14,6,1000,2,3.35521,32.98747,968,0,0,0,0,0
Kitgum,TME 14,5,5000,1,3.33549,33.04633,1000,0,0,0,0,0
Kitgum,Nase 3,5,3000,2,3.22222,32.92253,983,0,0,0,0,0
Pader,TME 14,4,1000,3,3.02692,32.92094,1036,0,0,0,0,0
Pader,TME 204,5,3000,0,2.93793,32.94361,1023,0,0,0,12,0.4
Pader,TME 14,4,1000,2,2.89507,32.89507,1032,0,0,0,0,0
Pader,TME 14,4,2000,0,2.85152,32.83918,1005,0,0,0,0,0
Pader,Omongole,4,1000,0,2.77901,32.78101,1005,0,0,0,0,0
Pader,TME 14,5,4000,1,2.69861,32.80677,1020,0,0,0,0,0
Pader,Nase 3,5,1000,0,2.70948,32.89961,1050,0,0,0,0,0
Pader,TME 14,5,1000,1,2.77315,32.99821,1039,0,0,0,0,0
Pader,Nam 130,6,5000,2,2.87887,33.09042,1032,0,0,0,0,0
Pader,TME 14,5,5000,2,2.87092,33.2014,1018,0,0,0,0,0
Pader,TME 14,6,1000,1,2.83719,33.31164,1023,0,0,0,0,0
Pader,TME 2004,6,4000,0,2.94908,33.38913,1072,0,0,0,0,0
Pader,Nase 3,6,1000,0,2.81422,33.37585,1059,0,0,0,0,0
Pader,Ogwok,6,1000,2,2.76662,33.27002,1050,0,0,70,0,0
Pader,TME 14,5,2000,1,2.77886,33.19775,1064,0,0,0,0,0
Pader,TME 14,5,1000,0,2.80726,33.09635,1023,0,0,0,0,0
Pader,TME 14,6,1000,0,2.74879,33.07886,1028,0,0,0,0,0
Pader,Omongole,4,1000,3,2.92335,33.01112,1065,0,0,0,0,0
Pader,TME 14,6,1000,0,2.87031,32.78349,1030,0,0,0,0,0
Pader,Nase 12,5,1000,1,2.8888,32.72834,1042,0,0,0,0,0
Nebbi,TME 14,5,1500,2,2.46333,31.06477,1242,2,3.3,0,1,0
Nebbi,I92/0057,6,2000,2,2.405,31.03362,1370,0,0,0,3,0.1
Zombo,I92/0057,4,2000,0,2.40387,31.00692,1444,0,0,20,39,1.3
Zombo,Nase 13,6,1000,3,2.42915,30.99422,1464,0,0,0,0,0
Zombo,Nyarunega,4,2500,2,2.41495,30.94147,1604,0,0,23.3,2,0.1
Zombo,I92/0067,4,2000,3,2.40778,30.89635,1619,0,0,0,4,0.1
Zombo,TME 14,4,1000,0,2.40633,30.869,1630,2,100,0,535,17.8
Zombo,Nyapalei,6,1000,3,2.43637,30.92598,1571,0,0,30,35,1.2
Nebbi,TME 14,6,1000,2,2.49397,31.1156,967,2,100,0,7,0.2
Nebbi,Nase 3,5,3000,3,2.5073,31.16868,928,0,0,13.3,4,0.1
Nebbi,TME 204,6,4000,10,2.56857,31.24665,852,0,0,0,540,18
Nebbi,Bisimenge,5,2000,3,2.65847,31.30623,720,0,0,23.3,694,23.1
Nebbi,Nase 3,5,1000,2,2.70578,31.39613,652,0,0,3.3,72,2.4
Nebbi,Unknown Local,6,2000,4,2.59457,31.39042,647,2.4,100,10,4,0.1
Nebbi,Ocol,6,3000,0,2.49712,31.3724,720,2,33.3,16.7,21,0.7
Nebbi,Ocol,6,4200,4,2.45988,31.47085,657,2,100,13.3,7,0.2
Nebbi,Angaruba,5,3000,3,2.46388,31.34243,740,0,0,6.7,21,0.7
Nebbi,Nase 3,5,1000,2,2.43965,31.32412,809,0,0,3.3,4,0.1
Nebbi,TME 14,5,2000,3,2.33277,31.24132,964,2,100,0,0,0
Nebbi,I92/0057,5,2000,2,2.41503,31.20265,988,2.4,33.3,10,12,0.4
Arua,Ariwara,5,3000,0,3.03195,30.87977,1189,0,0,33.3,314,10.5
Arua,Ariwara,5,1000,2,2.99553,30.87458,1228,0,0,56.7,12,0.4
Arua,Ariwara,4,1000,3,2.96385,30.86638,1289,0,0,30,11,0.4
Arua,Omoo,4,4000,2,2.9034,30.86852,1331,0,0,36.7,0,0
Arua,Malukwa,4,2000,0,2.85428,30.89098,1368,0,0,16.7,0,0
Arua,I91/0057,6,1000,3,2.76462,30.86425,1463,0,0,0,0,0
Arua,TME 14,5,2000,3,2.73862,30.91103,1218,0,0,0,4,0.1
Arua,TME 14,5,1000,4,2.74655,30.965,1196,2,3.3,0,0,0
Arua,Bisimenge,6,1000,2,2.78042,31.0265,1029,2.2,60,13.3,0,0
Arua,Bisimenge,5,4000,0,2.73483,31.02625,956,0,0,60,0,0
Arua,Nam 130,5,6000,5,3.0783,30.95052,1196,0,0,10,319,10.6
Arua,TME 204,5,4000,4,3.08112,31.04642,984,2,46.7,0,235,7.8
Arua,Nase 14,6,4000,3,3.01428,31.20812,724,0,0,0,23,0.8
Arua,TME 204,5,2000,2,2.9853,31.29648,664,2,100,0,49,1.6
Arua,TME 14,6,2000,3,3.08487,31.24915,680,2,100,10,7,0.2
Arua,TME 14,5,4000,1,3.1119,31.1524,841,2.1,73.3,6.7,12,0.4
Arua,TME 14,5,4000,0,3.16533,31.07878,927,2,43.3,0,14,0.5
Maracha,TME 14,5,1000,4,3.24493,31.01127,1012,0,0,0,200,6.7
Maracha,I91/0057,5,4000,6,3.2491,30.96553,1145,0,0,0,13,0.4
Maracha,Abiria,8,1000,0,3.31935,30.94132,1154,0,0,46.7,18,0.6
Koboko,TME 14,5,1000,2,3.38528,30.9531,1218,2,13.3,10,114,3.8
